id,primary_type,community_area,year,latitude,longitude
22668,HOMICIDE,70,2016,41.738544675,-87.720157115
21067,HOMICIDE,40,2013,41.80128249,-87.617728819
23256,HOMICIDE,40,2017,41.794498909,-87.615574628
23117,HOMICIDE,68,2016,41.762908968,-87.645565203
24098,HOMICIDE,22,2018,41.927452663,-87.687729271
21521,HOMICIDE,54,2014,41.652268611,-87.617232658
22483,HOMICIDE,25,2016,41.880966677,-87.758754007
24070,HOMICIDE,68,2018,41.782674487,-87.648507229
22749,HOMICIDE,31,2016,41.857297615,-87.658856168
23178,HOMICIDE,71,2017,41.755980666,-87.652192206
23383,HOMICIDE,56,2017,41.810515811,-87.750573202
23973,HOMICIDE,53,2018,41.677774958,-87.644693367
23767,HOMICIDE,23,2018,41.894687135,-87.710192429
21419,HOMICIDE,1,2014,42.01943247,-87.678460592
22645,HOMICIDE,46,2016,41.736414501,-87.54581652
26518,HOMICIDE,26,2016,41.881891477,-87.721561037
23751,HOMICIDE,44,2017,41.746538389,-87.622881017
23719,HOMICIDE,61,2017,41.802144972,-87.673316883
24308,HOMICIDE,29,2018,41.865532893,-87.709300813
22806,HOMICIDE,63,2016,41.802991846,-87.680808607
23283,HOMICIDE,75,2017,41.685593638,-87.650683608
23954,HOMICIDE,61,2018,41.796708258,-87.667086872
23867,HOMICIDE,26,2018,41.877931554,-87.729342994
23354,HOMICIDE,29,2017,41.861846539,-87.721388714
21461,HOMICIDE,67,2014,41.779306305,-87.674629028
